Numero_Securite_Sociale,Nom,Prenom,Date_Naissance,Numero_Telephone,E_Mail,ID_Remboursement,Code_Soin,Montant_Remboursement
1210804828306,Olivier,Jean-Luc,18/07/1993,0156340093,Olivier.Jean-Luc@gmail.com,88,D8,7.51
1640606758991,Marius,François,09/02/1979,0248527366,Marius.François@gmail.com,59,M3,0.71
2690758109248,David,Olivier,08/04/1978,0431506131,David.Olivier@gmail.com,20,J8,1.79
1260332510917,Marie,Michel,20/11/1926,0960956766,Marie.Michel@gmail.com,78,E7,2.72
2070776427679,André,Gilles,25/06/1903,0544577938,André.Gilles@gmail.com,5,F2,4.15
1720561429307,Benoît,Bernard,18/07/1988,0862929322,Benoît.Bernard@gmail.com,61,D3,8.47
1990186357174,François,Charles,19/01/1964,0667602539,François.Charles@gmail.com,96,M9,9.69
1210258586594,Fabien,Jacques,03/10/1971,0461892551,Fabien.Jacques@gmail.com,100,J2,8.89
2380271246737,Alain,Laurent,01/04/2005,0154183303,Alain.Laurent@gmail.com,65,J4,7.2700000000000005
2870713518383,Nicolas,Sébastien,24/10/2001,0115913835,Nicolas.Sébastien@gmail.com,98,B2,5.96
2181129657126,Jérôme,Étienne,17/05/1998,0111530329,Jérôme.Étienne@gmail.com,100,M7,9.21
1400662476321,Lionel,Christian,01/10/1951,0883834194,Lionel.Christian@gmail.com,3,M5,8.46
1080279669120,Jacques,Lucien,16/09/2000,0998339865,Jacques.Lucien@gmail.com,20,F5,1.37
2000512094274,Pascal,François,04/06/1954,0118948590,Pascal.François@gmail.com,88,H5,8.01
1890549702934,Benjamin,Renaud,02/07/1913,0618895385,Benjamin.Renaud@gmail.com,63,K4,5.38
2390661628923,Olivier,Joseph,11/08/1958,0243448133,Olivier.Joseph@gmail.com,28,I4,5.03
1070283294566,Bertrand,Cédric,23/12/1959,0793911437,Bertrand.Cédric@gmail.com,6,N4,5.05
1120687138625,Christian,Fabien,16/08/1982,0733513988,Christian.Fabien@gmail.com,39,A9,2.06
2721296114821,Lionel,Benjamin,13/04/1926,0229710079,Lionel.Benjamin@gmail.com,63,F9,4.44
1160870190789,Sophie,Philippe,09/02/1905,0917920565,Sophie.Philippe@gmail.com,96,K4,6.62
1010360518119,Jean-Luc,Michel,23/10/2013,0362075217,Jean-Luc.Michel@gmail.com,39,B5,2.19
2691262247969,Pascal,Sophie,15/06/1918,0398531116,Pascal.Sophie@gmail.com,95,G9,7.890000000000001
1160725421745,Michel,Olivier,07/06/1959,0143369430,Michel.Olivier@gmail.com,87,E3,8.91
2200801277555,Cyril,Sylvain,19/04/1982,0531561558,Cyril.Sylvain@gmail.com,75,A6,6.55
2031062162686,Emmanuel,Hervé,27/05/1977,0244324969,Emmanuel.Hervé@gmail.com,66,E5,4.82
2380453298378,Raymond,Auguste,14/11/1915,0531558100,Raymond.Auguste@gmail.com,43,D8,5.11
1280665431511,Éric,Thierry,28/12/1939,0215278165,Éric.Thierry@gmail.com,26,E9,2.5
1061202455215,Daniel,Maxime,23/03/2023,0161633926,Daniel.Maxime@gmail.com,83,K5,5.12
2650926707412,Paul,Émile,28/12/1929,0775341708,Paul.Émile@gmail.com,24,K5,1.97
1160581624470,Émile,Christophe,07/04/1905,0945847892,Émile.Christophe@gmail.com,2,E7,7.3500000000000005
2171096828536,Patrice,Alfred,19/04/1974,0596853302,Patrice.Alfred@gmail.com,49,C7,8.49
1760778711536,Sébastien,Henri,19/09/2014,0971084527,Sébastien.Henri@gmail.com,3,D9,3.0100000000000002
1450789977449,Raymond,Damien,02/04/1983,0858573452,Raymond.Damien@gmail.com,72,D9,6.62
2640669836658,Bernard,Paul,06/12/1980,0941062419,Bernard.Paul@gmail.com,61,A4,4.69
1220668371437,Emmanuel,David,13/12/1978,0715527097,Emmanuel.David@gmail.com,81,I4,1.05
2260963710904,Jérôme,Laurent,01/11/1928,0491589780,Jérôme.Laurent@gmail.com,49,B1,6.41
1681181611351,François,Armand,04/07/1907,0739363326,François.Armand@gmail.com,93,G2,1.17
1620534565708,Vincent,Philippe,26/11/1950,0755494692,Vincent.Philippe@gmail.com,52,C4,3.35
2510515538245,Guillaume,Michel,26/12/2001,0931652789,Guillaume.Michel@gmail.com,9,L4,4.45
1451120693969,Christian,Maurice,05/08/1968,0189834311,Christian.Maurice@gmail.com,46,E5,5.9
1410181610072,Arnaud,Grégory,14/05/1969,0578911493,Arnaud.Grégory@gmail.com,46,M3,4.01
1331249483723,Pierre,Hervé,15/03/1994,0275494448,Pierre.Hervé@gmail.com,75,N6,6.42
1920559956670,Albert,Marius,05/09/1909,0271942982,Albert.Marius@gmail.com,96,M4,4.3500000000000005
2841198149886,Denis,Vincent,22/01/2019,0639933568,Denis.Vincent@gmail.com,5,L6,2.35
1901199692405,Gérard,Maxime,04/08/1966,0621105482,Gérard.Maxime@gmail.com,17,I5,2.39
1920214502014,Paul,Laurent,27/12/1933,0891368699,Paul.Laurent@gmail.com,45,L4,4.33
1020604599443,Raoul,Raymond,23/05/1919,0478183128,Raoul.Raymond@gmail.com,4,L3,3.15
